"","rep","boot_mean","boot_median","boot_sd","boot_p05","boot_p95","fe_est","fe_se"
"5%244",245,2.01431838391581,2.01441135326599,0.00897831723206331,1.99919985151813,2.02936251330205,2.01418632764033,0.0106772947983442
"5%245",246,1.99567492002694,1.99578852188568,0.00754792086089102,1.98320932592314,2.00780032482414,1.99556647309502,0.00822479001155008
"5%246",247,2.01132680969379,2.01122746718054,0.00793182055504166,1.99815370137198,2.02380022408879,2.01123614426969,0.010178669253699
"5%247",248,1.99863652875595,1.99923543641328,0.0101232736481769,1.98207363352756,2.01504439272899,1.99873218035217,0.01372658713743
"5%248",249,2.00723326752795,2.00711419735045,0.00970020464401972,1.99185922353363,2.0224428158029,2.00695501740522,0.0115562540108208
"5%249",250,1.99320686706252,1.99320004869917,0.00826107224135058,1.98007382915045,2.00693363257386,1.99311745980128,0.0125457638033634
"5%250",251,2.00298760582588,2.00295187121089,0.00843200682184377,1.98939239750271,2.01696397927517,2.00292216083062,0.0103405021970535
"5%251",252,2.01008558366074,2.00975746822953,0.0103776555909639,1.99298024696475,2.0275561348179,2.00970948709011,0.017904444550516
"5%252",253,1.99689559324861,1.99679412377652,0.00857255146455757,1.9835405001286,2.01123922400937,1.99693680896064,0.00868759159293058
"5%253",254,1.99387016569414,1.99397654365051,0.0092335064592309,1.97916005434912,2.00908229437711,1.99361131915134,0.0105042232191835
"5%254",255,2.01015908821215,2.01018307328486,0.00989874584318235,1.99435058320045,2.0269679058135,2.00997086439713,0.0108034703292818
"5%255",256,2.00152524149345,2.00171435500764,0.00928033943246448,1.98690074596195,2.01654464757889,2.00192141816262,0.0112873189667395
"5%256",257,2.00498402031726,2.00483680489643,0.00846570768869158,1.99103560513822,2.0188810451047,2.00495275895839,0.0133839237069793
"5%257",258,1.99440479569092,1.99395351534634,0.00947222814414796,1.97892830905666,2.01028340126376,1.99437833977573,0.0109403868656903
"5%258",259,2.01102080810353,2.01077151324964,0.00829762814274216,1.99774333876889,2.0247235479578,2.01077589610569,0.013666227826635
"5%259",260,1.99740602157588,1.99724156236003,0.00963602074771109,1.98230351839469,2.01367725763717,1.99730166905225,0.00706421530784084
"5%260",261,2.02216173040374,2.02218334444952,0.00990471317997979,2.00647882265763,2.03849678826035,2.02206224076936,0.0109249196757731
"5%261",262,2.0051837333441,2.00521278144214,0.0104869972073814,1.98830916798639,2.02220939229804,2.00547924551093,0.0119469942633996
"5%262",263,2.00721917333896,2.00729793227883,0.00740298136123167,1.99534203276392,2.01914828223383,2.00706264903905,0.00781119073089305
"5%263",264,2.01020321634562,2.00977731822172,0.00853381847824266,1.99640228132634,2.02437979774415,2.01010893619437,0.0105824525585485
"5%264",265,2.00574804588506,2.0053764615424,0.0105884530107941,1.98889865562467,2.02392714656038,2.005571093264,0.0122067161202428
"5%265",266,2.0102101814267,2.01009100184861,0.00826278600204321,1.99665231504801,2.02385980019126,2.01017634156309,0.00825030297981976
"5%266",267,1.99117921314039,1.99130316775334,0.00894231130722085,1.97588282226797,2.00601079746898,1.99087463960412,0.0108125762656328
"5%267",268,2.01029257356237,2.00975251746764,0.00866825058478388,1.99639963920803,2.02537281625448,2.01064750510712,0.0125033360488019
"5%268",269,1.99831416881432,1.99801686037769,0.00764462232668026,1.98569842622487,2.01131313386446,1.99829525957786,0.0091697726926829
"5%269",270,2.0026357417851,2.00226325330115,0.00903701914461979,1.98751638963334,2.01762596782969,2.00231200163003,0.0107159428886874
"5%270",271,2.00263584225029,2.00234385067424,0.00783271271186422,1.99016300916776,2.01603228454645,2.00228126092184,0.00923080644954149
"5%271",272,2.00508824180013,2.00485592004055,0.00796373873965718,1.99146595869871,2.01826323788928,2.00497084538195,0.00894008994452115
"5%272",273,2.00065317462367,2.00049172150594,0.00835259625767491,1.98745103505703,2.01497432920328,2.00054349818458,0.00812223461529133
"5%273",274,1.99610898959259,1.995922881199,0.00806510986831361,1.98317108436699,2.00976391397525,1.99604317522795,0.00987744199726849
"5%274",275,2.00354253656083,2.00333775114207,0.00865680210354383,1.98921169161805,2.01779980308576,2.00336237607217,0.00820169414952969
"5%275",276,2.00526543879355,2.00539258489431,0.0102911045116697,1.9874706712369,2.02219666333812,2.00476983514381,0.0193032405627368
